gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2566053556	da3542b4-9a73-4054-b9a3-2d762e172199	08c646b0-2ab3-464a-b065-7021bcf1c50a	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora terrestris		SPECIES	Thelephora terrestris Ehrh.	Thelephora terrestris Ehrh.	Ehrh.	MW	Malawi		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2522935	2522935	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.164Z		
2566053555	da3542b4-9a73-4054-b9a3-2d762e172199	f8d9280e-b1fc-4f32-bb23-23e93ddc22e2	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	Tulostoma giovanellae		SPECIES	Tulostoma giovanellae Bres.	Tulostoma giovanellae Bres.	Bres.	HU	Hungary		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									1903-01-01T00:00:00			1903	5453858	5453858	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.613Z		
2566053554	da3542b4-9a73-4054-b9a3-2d762e172199	9b53e42b-7ff3-49a0-8570-174c023dc0cf	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Pyrrhoderma	Pyrrhoderma noxium		SPECIES	Phellinus noxius (Corner) G.Cunn.	Phellinus noxius (Corner) G. Cunn	(Corner) G. Cunn	FJ	Fiji		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2520109	10882566	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.318Z		
2566053553	da3542b4-9a73-4054-b9a3-2d762e172199	e88eae51-00fb-4978-8b62-65f618a143a7	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus cavipes		SPECIES	Suillus cavipes (Klotzsch) A.H.Sm. & Thiers	Suillus cavipes (Klotzsch) A.H. Sm. & Thiers	(Klotzsch) A.H. Sm. & Thiers	MN	Mongolia		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									2015-01-01T00:00:00			2015	5239851	5239851	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.826Z		
2566053552	da3542b4-9a73-4054-b9a3-2d762e172199	d3acf18e-4d45-4535-815f-375e537a660b	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Chlorophyllum	Chlorophyllum molybdites		SPECIES	Chlorophyllum molybdites (G.Mey.) Massee	Chlorophyllum molybdites (G. Mey.) Massee	(G. Mey.) Massee	CY	Cyprus		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													5243168	5243168	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.939Z		
2566053551	da3542b4-9a73-4054-b9a3-2d762e172199	f2185bde-a4ea-4250-a2da-fd5d9015de45	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula pectinata		SPECIES	Russula pectinata Fr.	Russula pectinata Fr.	Fr.	NZ	New Zealand		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2551285	2551285	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.782Z		
2566053550	da3542b4-9a73-4054-b9a3-2d762e172199	bb4b4f4a-2687-4698-8b1c-0f2bef07788a	Fungi	Basidiomycota	Agaricomycetes	Russulales	Bondarzewiaceae	Heterobasidion	Heterobasidion parviporum		SPECIES	Heterobasidion parviporum Niemelä & Korhonen	Heterobasidion parviporum Niemela & Korhonen	Niemela & Korhonen	AT	Austria		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2552009	2552009	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.197Z		
2566053549	da3542b4-9a73-4054-b9a3-2d762e172199	81bb5e2b-3819-48c5-9915-145900364445	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon roseolus		SPECIES	Rhizopogon vulgaris (Vittad.) M.Lange	Rhizopogon vulgaris (Vittad.) M. Lange	(Vittad.) M. Lange	ES	Spain		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2524232	2524228	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.025Z		
2566053548	da3542b4-9a73-4054-b9a3-2d762e172199	e413d5ac-8893-4e82-831f-14221fc62a18	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucocoprinus	Leucocoprinus brebissonii		SPECIES	Leucocoprinus brebissonii (Godey) Locq.	Leucocoprinus brebissonii (Godey) Locq.	(Godey) Locq.	CH	Switzerland		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									1970-01-01T00:00:00			1970	2535560	2535560	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.083Z		
2566053547	da3542b4-9a73-4054-b9a3-2d762e172199	3693d4b3-b855-47c4-ad46-7d0185d78266	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Descolea	Descolea alba		SPECIES	Hymenangium album Klotzsch	Hymenangium album Klotzsch	Klotzsch	ES	Spain		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2528589	9668990	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.934Z		
